name,url,start_time,start_date,end_time,end_date,duration,venue_name,venue_address,longitude,latitude,summary,is_online_event,tickets_url,tags,event_id,data_source,image,age_range,min_age,max_age
Cuánto Cuento!  (de 0 a 6 años) Especial Día de la Madre,https://www.eventbrite.es/e/entradas-cuanto-cuento-de-0-a-6-anos-especial-dia-de-la-madre-1341745399609,11:30,2025-05-04,12:00,2025-05-04,0:30:00,Vualá - Librería juvenil y infantil,"17 Calle de Santa Feliciana Calle Santa Feliciana 17, 28010 Madrid, España, 28010 Madrid",-3.698552499999999,40.4335425,"Ven y disfruta de una mañana llena de historias, risas y diversión con nuestros cuenta cuentos más especiales.",False,https://www.eventbrite.com/checkout-external?eid=1341745399609,"['Niños y jóvenes', 'Familia y educación', 'Concierto o actuación', 'Niños', 'Niños', 'Evento', 'Narración de cuentos', 'Familia', 'Evento', 'Madrid', 'Cuentos', 'Cuentacuentos', 'Libreria']",1341745399609,eventbrite,,0-6,0.0,6.0
Club Futuros Podcasters - Taller de podcast para niños de 6 a 12 años,https://www.eventbrite.es/e/entradas-club-futuros-podcasters-taller-de-podcast-para-ninos-de-6-a-12-anos-1297237354849,17:30,2025-05-08,18:30,2025-05-08,1:00:00,"C. de Ramón y Cajal, 4","4 Calle de Ramón y Cajal, 28801 Alcalá de Henares",-3.3655154,40.4825418,Talleres de podcast mensuales para niños. Nos reunimos el primer jueves de cada mes. Ven a probar un taller o apúntate a todos hasta julio.,False,https://www.eventbrite.com/checkout-external?eid=1297237354849,"['Niños y jóvenes', 'Familia y educación', 'Clase, formación o taller', 'Radio', 'Audio', 'Taller', 'Podcast', 'Educacion', 'Comunicación', 'Curso', 'Ocio', 'Locutores', 'Microfono']",1297237354849,eventbrite,,6-12,6.0,12.0
Taller FAMILIAR de Lettering  ¡DIBUJAMOS EL ABECEDARIO!,https://www.eventbrite.es/e/taller-familiar-de-lettering-dibujamos-el-abecedario-tickets-1312720154319,10:00,2025-05-10,12:00,2025-05-10,2:00:00,Tienda Cuadernos RUBIO,"9 Carrer de Sorní #bajo derecha, 46004 València",-0.36843229999999494,39.4703195,"Ven y aprende a dibujar letras de forma creativa en familia en nuestro taller de lettering, ¡te esperamos en la tienda RUBIO!",False,https://www.eventbrite.com/checkout-external?eid=1312720154319,"['Crianza', 'Familia y educación', 'Clase, formación o taller', 'Taller', 'Lettering', 'Familiar', 'abecedario', 'dibujamos']",1312720154319,eventbrite,,,,
La Colmena. Taller de juego y movimiento libre (bebés que se desplazan),https://www.eventbrite.es/e/entradas-la-colmena-taller-de-juego-y-movimiento-libre-bebes-que-se-desplazan-1331008174279,11:30,2025-05-07,12:30,2025-05-07,1:00:00,Vualá - Librería juvenil y infantil,"17 Calle de Santa Feliciana Calle Santa Feliciana 17, 28010 Madrid, España, 28010 Madrid",-3.698552499999999,40.4335425,"Un espacio abierto para que a través del juego y movimiento libre, las familias puedan acompañar el desarrollo de sus hijxs.",False,https://www.eventbrite.com/checkout-external?eid=1331008174279,"['Bebé', 'Familia y educación', 'Clase, formación o taller', 'Taller', 'Juego', 'Lectura', 'Crianza', 'Movimiento', 'Estimulacion', 'Grupo de bebés', 'colmena']",1331008174279,eventbrite,,,,
Arte Floral  con Mamá,https://www.eventbrite.es/e/entradas-arte-floral-con-mama-1333760396249,17:00,2025-05-10,20:00,2025-05-10,3:00:00,Hotel A Quinta Da Auga Relais & Châteaux,"23B Paseo da Amaia, 15706 Santiago de Compostela",-8.5825816,42.87032960000001,¡Ven a disfrutar de una tarde especial con mamá creando juntos un hermoso arreglo con flores de temporada! Un recuerdo único para compartir.,False,https://www.eventbrite.com/checkout-external?eid=1333760396249,"['Crianza', 'Familia y educación', 'Floral', 'Arte', 'Mama', 'Evento', 'Silvestre']",1333760396249,eventbrite,,,,
Taller musical en familia 11 DE MAYO,https://www.eventbrite.es/e/entradas-taller-musical-en-familia-11-de-mayo-1343810616729,11:00,2025-05-11,11:45,2025-05-11,0:45:00,Casa del Lector,"14 Paseo de la Chopera, 28045 Madrid",-3.6984427,40.3926635,Música tradicional,False,https://www.eventbrite.com/checkout-external?eid=1343810616729,"['Niños y jóvenes', 'Familia y educación', 'Clase, formación o taller']",1343810616729,eventbrite,,,,
Contando bajo la lluvia,https://www.eventbrite.es/e/entradas-contando-bajo-la-lluvia-1319844242659,11:00,2025-05-24,11:20,2025-05-24,0:20:00,Casa del Lector,"14 Paseo de la Chopera, 28045 Madrid",-3.6984427,40.3926635,Ciclo Algarabía,False,https://www.eventbrite.com/checkout-external?eid=1319844242659,"['Niños y jóvenes', 'Familia y educación', 'Clase, formación o taller']",1319844242659,eventbrite,,,,
Cuánto Cuento!  (de 3 a 6 años),https://www.eventbrite.es/e/entradas-cuanto-cuento-de-3-a-6-anos-1341769381339,11:30,2025-05-10,12:00,2025-05-10,0:30:00,Vualá - Librería juvenil y infantil,"17 Calle de Santa Feliciana Calle Santa Feliciana 17, 28010 Madrid, España, 28010 Madrid",-3.698552499999999,40.4335425,¡Te esperamos en nuestros cuentos dramatizados!,False,https://www.eventbrite.com/checkout-external?eid=1341769381339,"['Niños y jóvenes', 'Familia y educación', 'Concierto o actuación', 'Niños', 'Evento', 'Narración de cuentos', 'Familia', 'Evento', 'Madrid', 'Narrador', 'Cuentos', 'Cuentacuentos', 'Niños y familias']",1341769381339,eventbrite,,3-6,3.0,6.0
Jugar el arte en familia 3 DE MAYO,https://www.eventbrite.es/e/entradas-jugar-el-arte-en-familia-3-de-mayo-1302039748939,16:30,2025-05-03,17:30,2025-05-03,1:00:00,Casa del Lector,"14 Paseo de la Chopera, 28045 Madrid",-3.6984427,40.3926635,Explorando y creando juntos,False,https://www.eventbrite.com/checkout-external?eid=1302039748939,"['Niños y jóvenes', 'Familia y educación', 'Clase, formación o taller']",1302039748939,eventbrite,,,,
Investigactiva. Especial Energía y movimiento 18 DE MAYO,https://www.eventbrite.es/e/investigactiva-especial-energia-y-movimiento-18-de-mayo-tickets-1302072707519,11:30,2025-05-18,12:25,2025-05-18,0:55:00,Casa del Lector,"14 Paseo de la Chopera, 28045 Madrid",-3.6984427,40.3926635,Espacio de experimentación científica para niñas y niños de 2 a 8 años,False,https://www.eventbrite.com/checkout-external?eid=1302072707519,"['Niños y jóvenes', 'Familia y educación', 'Clase, formación o taller', 'Conferencias', 'Evento', 'Actividades', 'Octubre', 'investigactiva']",1302072707519,eventbrite,,2-8,2.0,8.0
Investigactiva. Especial Energía y movimiento 1 DE JUNIO,https://www.eventbrite.es/e/investigactiva-especial-energia-y-movimiento-1-de-junio-tickets-1302079507859,11:30,2025-06-01,12:25,2025-06-01,0:55:00,Casa del Lector,"14 Paseo de la Chopera, 28045 Madrid",-3.6984427,40.3926635,Espacio de experimentación científica para niñas y niños de 2 a 8 años,False,https://www.eventbrite.com/checkout-external?eid=1302079507859,"['Niños y jóvenes', 'Familia y educación', 'Clase, formación o taller', 'Conferencias', 'Evento', 'Actividades', 'Octubre', 'investigactiva']",1302079507859,eventbrite,,2-8,2.0,8.0
Certe Mathurin | Affaires de Famille | 23.05.25 | BARCELONE,https://www.eventbrite.fr/e/certe-mathurin-affaires-de-famille-230525-barcelone-tickets-1058095154089,20:00,2025-05-23,21:15,2025-05-23,1:15:00,Tinta Roja Bar - Teatro,"17 Carrer de la Creu dels Molers, 08004 Barcelona",2.1620202,41.37420279999999,LE NOUVEAU SPECTACLE DE CERTE MATHURIN,False,https://www.eventbrite.com/checkout-external?eid=1058095154089,"['Crianza', 'Familia y educación', 'Concierto o actuación', 'Familia', 'Monólogo', 'Evento', 'Humor', 'Barcelona', 'Comedia en Barcelona', 'barcelona_comedy', 'mathurin', 'certe_mathurin', 'affaires_de_famille']",1058095154089,eventbrite,,,,
"Me Mimo Gestando, edición: ""Un nido consciente""",https://www.eventbrite.es/e/me-mimo-gestando-edicion-un-nido-consciente-tickets-1237774269159,10:00,2025-05-24,14:00,2025-05-24,4:00:00,ESPAI NERAIDA,"7 Camí del Transformador #B local A, 08394 Sant Vicenç de Montalt",2.5094416,41.5760939,"Solo con consciencia podremos abrirnos a la vida y cuidarla desde la salud y bienestar, favoreciendo el desplegar de toda la potencialidad.",False,https://www.eventbrite.com/checkout-external?eid=1237774269159,"['Crianza', 'Familia y educación', 'Conferencia', 'Consciência', 'Evento', 'Maternidad', 'me_mimo_gestando', 'un_nido_consciente']",1237774269159,eventbrite,,,,
Bichos y bichejos,https://www.eventbrite.es/e/entradas-bichos-y-bichejos-1319849538499,11:00,2025-05-25,11:20,2025-05-25,0:20:00,Casa del Lector,"14 Paseo de la Chopera, 28045 Madrid",-3.6984427,40.3926635,Ciclo Algarabía,False,https://www.eventbrite.com/checkout-external?eid=1319849538499,"['Niños y jóvenes', 'Familia y educación', 'Clase, formación o taller']",1319849538499,eventbrite,,,,
Jugar el arte en familia 14 DE JUNIO,https://www.eventbrite.es/e/entradas-jugar-el-arte-en-familia-14-de-junio-1302045877269,16:30,2025-06-14,17:30,2025-06-14,1:00:00,Casa del Lector,"14 Paseo de la Chopera, 28045 Madrid",-3.6984427,40.3926635,Explorando y creando juntos,False,https://www.eventbrite.com/checkout-external?eid=1302045877269,"['Niños y jóvenes', 'Familia y educación', 'Clase, formación o taller']",1302045877269,eventbrite,,,,
La Colmena D (domingo),https://www.eventbrite.es/e/entradas-la-colmena-d-domingo-1331014533299,11:30,2025-05-25,12:30,2025-05-25,1:00:00,Vualá - Librería juvenil y infantil,"17 Calle de Santa Feliciana Calle Santa Feliciana 17, 28010 Madrid, España, 28010 Madrid",-3.698552499999999,40.4335425,La Colmena de Vualá ahora también el fin de semana! Un encuentro mensual para familias con peques que ya se desplazan.,False,https://www.eventbrite.com/checkout-external?eid=1331014533299,"['Bebé', 'Familia y educación', 'Clase, formación o taller', 'Familia', 'Comunidad', 'Bebé', 'Evento', 'Reunión', 'Montessori', 'Librería', 'Juegos', 'Taller familiar', 'eventos_infantiles']",1331014533299,eventbrite,,,,
Taller musical en familia 8 DE JUNIO,https://www.eventbrite.es/e/entradas-taller-musical-en-familia-8-de-junio-1343812271679,11:00,2025-06-08,11:45,2025-06-08,0:45:00,Casa del Lector,"14 Paseo de la Chopera, 28045 Madrid",-3.6984427,40.3926635,Música tradicional,False,https://www.eventbrite.com/checkout-external?eid=1343812271679,"['Niños y jóvenes', 'Familia y educación', 'Clase, formación o taller']",1343812271679,eventbrite,,,,
